0.000302, 0.012075, 50, 
0.000579, 0.005537, 50, 
0.003296, 0.054337, 50, 
0.008125, 0.096599, 50, 
0.015672, 0.150935, 50, 
0.026540, 0.217347, 50, 
0.041331, 0.295833, 50, 
0.060651, 0.386394, 50, 
0.085103, 0.489030, 50, 
0.115290, 0.603741, 50, 
0.151816, 0.730527, 50, 
0.195285, 0.869388, 50, 
0.246301, 1.020323, 50, 
0.305468, 1.183333, 50, 
0.373389, 1.358418, 50, 
0.450668, 1.545578, 50, 
0.537909, 1.744812, 50, 
0.635715, 1.956122, 50, 
0.744690, 2.179506, 50, 
0.865136, 2.408928, 50, 
0.997054, 2.638350, 50, 
1.140442, 2.867771, 50, 
1.295302, 3.097193, 50, 
1.461633, 3.326615, 50, 
1.639435, 3.556036, 50, 
1.828707, 3.785458, 50, 
2.029451, 4.014880, 50, 
2.241667, 4.244302, 50, 
2.465353, 4.473723, 50, 
2.700510, 4.703145, 50, 
2.947138, 4.932567, 50, 
3.205238, 5.161988, 50, 
3.474808, 5.391410, 50, 
3.755850, 5.620832, 50, 
4.048362, 5.850253, 50, 
4.352346, 6.079675, 50, 
4.667801, 6.309097, 50, 
4.994727, 6.538519, 50, 
5.333124, 6.767940, 50, 
5.682992, 6.997362, 50, 
6.044331, 7.226784, 50, 
6.417142, 7.456205, 50, 
6.801423, 7.685627, 50, 
7.197175, 7.915049, 50, 
7.604399, 8.144470, 50, 
8.023093, 8.373892, 50, 
8.453259, 8.603314, 50, 
8.894896, 8.832736, 50, 
9.348004, 9.062157, 50, 
9.812583, 9.291579, 50, 
10.288633, 9.521001, 50, 
10.776154, 9.750422, 50, 
11.275146, 9.979844, 50, 
11.785609, 10.209266, 50, 
12.307544, 10.438687, 50, 
12.840949, 10.668109, 50, 
13.385826, 10.897531, 50, 
13.942173, 11.126953, 50, 
14.509992, 11.356374, 50, 
15.089282, 11.585796, 50, 
15.680043, 11.815218, 50, 
16.282275, 12.044639, 50, 
16.895978, 12.274061, 50, 
17.521152, 12.503483, 50, 
18.157797, 12.732905, 50, 
18.805913, 12.962326, 50, 
19.465501, 13.191748, 50, 
20.136559, 13.421170, 50, 
20.819089, 13.650591, 50, 
21.513090, 13.880013, 50, 
22.218561, 14.109435, 50, 
22.935504, 14.338856, 50, 
23.663918, 14.568278, 50, 
24.403803, 14.797700, 50, 
25.155159, 15.027122, 50, 
25.917986, 15.256543, 50, 
26.692284, 15.485965, 50, 
27.478054, 15.715387, 50, 
28.275294, 15.944808, 50, 
29.084006, 16.174230, 50, 
29.904188, 16.403652, 50, 
30.735842, 16.633073, 50, 
31.578967, 16.862495, 50, 
32.433563, 17.091917, 50, 
33.299630, 17.321339, 50, 
34.177168, 17.550760, 50, 
35.066177, 17.780182, 50, 
35.966657, 18.009604, 50, 
36.878608, 18.239025, 50, 
37.802030, 18.468447, 50, 
38.736924, 18.697869, 50, 
39.683288, 18.927290, 50, 
40.641124, 19.156712, 50, 
41.610431, 19.386134, 50, 
42.591209, 19.615556, 50, 
43.583457, 19.844977, 50, 
44.587177, 20.074399, 50, 
45.602368, 20.303821, 50, 
46.629030, 20.533242, 50, 
47.667164, 20.762664, 50, 
48.716768, 20.992086, 50, 
49.777843, 21.221508, 50, 
50.850390, 21.450929, 50, 
51.934407, 21.680351, 50, 
53.029896, 21.909773, 50, 
54.136856, 22.139194, 50, 
55.255287, 22.368616, 50, 
56.385188, 22.598038, 50, 
57.526561, 22.827459, 50, 
58.679405, 23.056881, 50, 
59.843721, 23.286303, 50, 
61.019507, 23.515725, 50, 
62.206764, 23.745146, 50, 
63.405493, 23.974568, 50, 
64.615692, 24.203990, 50, 
65.837363, 24.433411, 50, 
67.070504, 24.662833, 50, 
68.315117, 24.892255, 50, 
69.571201, 25.121676, 50, 
70.838756, 25.351098, 50, 
72.117782, 25.580520, 50, 
73.408279, 25.809942, 50, 
74.710247, 26.039363, 50, 
76.023686, 26.268785, 50, 
77.348596, 26.498207, 50, 
78.684978, 26.727628, 50, 
80.032830, 26.957050, 50, 
81.392154, 27.186472, 50, 
82.762949, 27.415893, 50, 
84.145214, 27.645315, 50, 
85.538951, 27.874737, 50, 
86.944159, 28.104159, 50, 
88.360838, 28.333580, 50, 
89.788988, 28.563002, 50, 
91.228610, 28.792424, 50, 
92.679702, 29.021845, 50, 
94.142265, 29.251267, 50, 
95.616300, 29.480689, 50, 
97.101805, 29.710111, 50, 
98.598782, 29.939532, 50, 
100.107229, 30.168954, 50, 
101.627148, 30.398376, 50, 
103.158538, 30.627797, 50, 
104.701399, 30.857219, 50, 
106.255429, 31.080603, 50, 
107.820025, 31.291913, 50, 
109.394582, 31.491147, 50, 
110.978498, 31.678307, 50, 
112.571167, 31.853392, 50, 
114.171987, 32.016402, 50, 
115.780354, 32.167338, 50, 
117.395664, 32.306198, 50, 
119.017313, 32.432984, 50, 
120.644698, 32.547695, 50, 
122.277215, 32.650331, 50, 
124.034559, 35.146895, 50, 
125.974639, 38.801600, 50, 
127.916022, 38.827657, 50, 
129.856569, 38.810941, 50, 
