0.000310, 0.012410, 50, 
0.000869, 0.011174, 50, 
0.003661, 0.055843, 50, 
0.008625, 0.099277, 50, 
0.016381, 0.155120, 50, 
0.027550, 0.223374, 50, 
0.042751, 0.304036, 50, 
0.062607, 0.397108, 50, 
0.087736, 0.502590, 50, 
0.118761, 0.620482, 50, 
0.156300, 0.750783, 50, 
0.200974, 0.893494, 50, 
0.253405, 1.048615, 50, 
0.314212, 1.216145, 50, 
0.384017, 1.396084, 50, 
0.463438, 1.588434, 50, 
0.553098, 1.793193, 50, 
0.653616, 2.010362, 50, 
0.765303, 2.233735, 50, 
0.888158, 2.457109, 50, 
1.022182, 2.680482, 50, 
1.167375, 2.903856, 50, 
1.323737, 3.127229, 50, 
1.491267, 3.350603, 50, 
1.669965, 3.573976, 50, 
1.859833, 3.797350, 50, 
2.060869, 4.020723, 50, 
2.273074, 4.244097, 50, 
2.496447, 4.467470, 50, 
2.730990, 4.690844, 50, 
2.976701, 4.914217, 50, 
3.233580, 5.137591, 50, 
3.501628, 5.360964, 50, 
3.780845, 5.584338, 50, 
4.071231, 5.807711, 50, 
4.372785, 6.031085, 50, 
4.685508, 6.254458, 50, 
5.009400, 6.477832, 50, 
5.344460, 6.701205, 50, 
5.690689, 6.924579, 50, 
6.048086, 7.147952, 50, 
6.416653, 7.371326, 50, 
6.796388, 7.594700, 50, 
7.187291, 7.818073, 50, 
7.589364, 8.041447, 50, 
8.002605, 8.264820, 50, 
8.427014, 8.488194, 50, 
8.862593, 8.711567, 50, 
9.309340, 8.934941, 50, 
9.767255, 9.158314, 50, 
10.236340, 9.381688, 50, 
10.716593, 9.605061, 50, 
11.208015, 9.828435, 50, 
11.710605, 10.051808, 50, 
12.224364, 10.275182, 50, 
12.749292, 10.498555, 50, 
13.285388, 10.721929, 50, 
13.832653, 10.945302, 50, 
14.391087, 11.168676, 50, 
14.960690, 11.392049, 50, 
15.541461, 11.615423, 50, 
16.133401, 11.838796, 50, 
16.736509, 12.062170, 50, 
17.350786, 12.285543, 50, 
17.976232, 12.508917, 50, 
18.612847, 12.732290, 50, 
19.260630, 12.955664, 50, 
19.919582, 13.179037, 50, 
20.589702, 13.402411, 50, 
21.270991, 13.625784, 50, 
21.963449, 13.849158, 50, 
22.667076, 14.072531, 50, 
23.381871, 14.295905, 50, 
24.107835, 14.519278, 50, 
24.844968, 14.742652, 50, 
25.593269, 14.966026, 50, 
26.352739, 15.189399, 50, 
27.123378, 15.412773, 50, 
27.905185, 15.636146, 50, 
28.698161, 15.859520, 50, 
29.502305, 16.082893, 50, 
30.317619, 16.306267, 50, 
31.144101, 16.529640, 50, 
31.981752, 16.753014, 50, 
32.830571, 16.976387, 50, 
33.690559, 17.199761, 50, 
34.561716, 17.423134, 50, 
35.444041, 17.646508, 50, 
36.337535, 17.869881, 50, 
37.242198, 18.093255, 50, 
38.158029, 18.316628, 50, 
39.085029, 18.540002, 50, 
40.023198, 18.763375, 50, 
40.972535, 18.986749, 50, 
41.933042, 19.210122, 50, 
42.904716, 19.433496, 50, 
43.887560, 19.656869, 50, 
44.881572, 19.880243, 50, 
